"DATEKEY","DATEVALUE","CYEAR","CQTR","CMONTH","DAYNO","STARTOFMONTH","ENDOFMONTH","MONTHNAME","DAYOFWEEKNAME"
20131018,2013-10-18,2013,4,10,18,2013-10-01,2013-10-31,"OCTOBER  ","FRI"
20131019,2013-10-19,2013,4,10,19,2013-10-01,2013-10-31,"OCTOBER  ","SAT"
20131020,2013-10-20,2013,4,10,20,2013-10-01,2013-10-31,"OCTOBER  ","SUN"
20131021,2013-10-21,2013,4,10,21,2013-10-01,2013-10-31,"OCTOBER  ","MON"
20131022,2013-10-22,2013,4,10,22,2013-10-01,2013-10-31,"OCTOBER  ","TUE"
20131023,2013-10-23,2013,4,10,23,2013-10-01,2013-10-31,"OCTOBER  ","WED"
20131024,2013-10-24,2013,4,10,24,2013-10-01,2013-10-31,"OCTOBER  ","THU"
20131025,2013-10-25,2013,4,10,25,2013-10-01,2013-10-31,"OCTOBER  ","FRI"
20131026,2013-10-26,2013,4,10,26,2013-10-01,2013-10-31,"OCTOBER  ","SAT"
20131027,2013-10-27,2013,4,10,27,2013-10-01,2013-10-31,"OCTOBER  ","SUN"
20131028,2013-10-28,2013,4,10,28,2013-10-01,2013-10-31,"OCTOBER  ","MON"
20131029,2013-10-29,2013,4,10,29,2013-10-01,2013-10-31,"OCTOBER  ","TUE"
20131030,2013-10-30,2013,4,10,30,2013-10-01,2013-10-31,"OCTOBER  ","WED"
20131031,2013-10-31,2013,4,10,31,2013-10-01,2013-10-31,"OCTOBER  ","THU"
20131101,2013-11-01,2013,4,11,1,2013-11-01,2013-11-30,"NOVEMBER ","FRI"
20131102,2013-11-02,2013,4,11,2,2013-11-01,2013-11-30,"NOVEMBER ","SAT"
20131103,2013-11-03,2013,4,11,3,2013-11-01,2013-11-30,"NOVEMBER ","SUN"
20131104,2013-11-04,2013,4,11,4,2013-11-01,2013-11-30,"NOVEMBER ","MON"
20131105,2013-11-05,2013,4,11,5,2013-11-01,2013-11-30,"NOVEMBER ","TUE"
20131106,2013-11-06,2013,4,11,6,2013-11-01,2013-11-30,"NOVEMBER ","WED"
20131107,2013-11-07,2013,4,11,7,2013-11-01,2013-11-30,"NOVEMBER ","THU"
20131108,2013-11-08,2013,4,11,8,2013-11-01,2013-11-30,"NOVEMBER ","FRI"
20131109,2013-11-09,2013,4,11,9,2013-11-01,2013-11-30,"NOVEMBER ","SAT"
20131110,2013-11-10,2013,4,11,10,2013-11-01,2013-11-30,"NOVEMBER ","SUN"
20131111,2013-11-11,2013,4,11,11,2013-11-01,2013-11-30,"NOVEMBER ","MON"
20131112,2013-11-12,2013,4,11,12,2013-11-01,2013-11-30,"NOVEMBER ","TUE"
20131113,2013-11-13,2013,4,11,13,2013-11-01,2013-11-30,"NOVEMBER ","WED"
20131114,2013-11-14,2013,4,11,14,2013-11-01,2013-11-30,"NOVEMBER ","THU"
20131115,2013-11-15,2013,4,11,15,2013-11-01,2013-11-30,"NOVEMBER ","FRI"
20131116,2013-11-16,2013,4,11,16,2013-11-01,2013-11-30,"NOVEMBER ","SAT"
20131117,2013-11-17,2013,4,11,17,2013-11-01,2013-11-30,"NOVEMBER ","SUN"
20131118,2013-11-18,2013,4,11,18,2013-11-01,2013-11-30,"NOVEMBER ","MON"
20131119,2013-11-19,2013,4,11,19,2013-11-01,2013-11-30,"NOVEMBER ","TUE"
20131120,2013-11-20,2013,4,11,20,2013-11-01,2013-11-30,"NOVEMBER ","WED"
20131121,2013-11-21,2013,4,11,21,2013-11-01,2013-11-30,"NOVEMBER ","THU"
20131122,2013-11-22,2013,4,11,22,2013-11-01,2013-11-30,"NOVEMBER ","FRI"
20131123,2013-11-23,2013,4,11,23,2013-11-01,2013-11-30,"NOVEMBER ","SAT"
20131124,2013-11-24,2013,4,11,24,2013-11-01,2013-11-30,"NOVEMBER ","SUN"
20131125,2013-11-25,2013,4,11,25,2013-11-01,2013-11-30,"NOVEMBER ","MON"
20131126,2013-11-26,2013,4,11,26,2013-11-01,2013-11-30,"NOVEMBER ","TUE"
20131127,2013-11-27,2013,4,11,27,2013-11-01,2013-11-30,"NOVEMBER ","WED"
20131128,2013-11-28,2013,4,11,28,2013-11-01,2013-11-30,"NOVEMBER ","THU"
20131129,2013-11-29,2013,4,11,29,2013-11-01,2013-11-30,"NOVEMBER ","FRI"
20131130,2013-11-30,2013,4,11,30,2013-11-01,2013-11-30,"NOVEMBER ","SAT"
20131201,2013-12-01,2013,4,12,1,2013-12-01,2013-12-31,"DECEMBER ","SUN"
20131202,2013-12-02,2013,4,12,2,2013-12-01,2013-12-31,"DECEMBER ","MON"
20131203,2013-12-03,2013,4,12,3,2013-12-01,2013-12-31,"DECEMBER ","TUE"
20131204,2013-12-04,2013,4,12,4,2013-12-01,2013-12-31,"DECEMBER ","WED"
20131205,2013-12-05,2013,4,12,5,2013-12-01,2013-12-31,"DECEMBER ","THU"
20131206,2013-12-06,2013,4,12,6,2013-12-01,2013-12-31,"DECEMBER ","FRI"
20131207,2013-12-07,2013,4,12,7,2013-12-01,2013-12-31,"DECEMBER ","SAT"
20131208,2013-12-08,2013,4,12,8,2013-12-01,2013-12-31,"DECEMBER ","SUN"
20131209,2013-12-09,2013,4,12,9,2013-12-01,2013-12-31,"DECEMBER ","MON"
20131210,2013-12-10,2013,4,12,10,2013-12-01,2013-12-31,"DECEMBER ","TUE"
20131211,2013-12-11,2013,4,12,11,2013-12-01,2013-12-31,"DECEMBER ","WED"
20131212,2013-12-12,2013,4,12,12,2013-12-01,2013-12-31,"DECEMBER ","THU"
20131213,2013-12-13,2013,4,12,13,2013-12-01,2013-12-31,"DECEMBER ","FRI"
20131214,2013-12-14,2013,4,12,14,2013-12-01,2013-12-31,"DECEMBER ","SAT"
20131215,2013-12-15,2013,4,12,15,2013-12-01,2013-12-31,"DECEMBER ","SUN"
20131216,2013-12-16,2013,4,12,16,2013-12-01,2013-12-31,"DECEMBER ","MON"
20131217,2013-12-17,2013,4,12,17,2013-12-01,2013-12-31,"DECEMBER ","TUE"
20131218,2013-12-18,2013,4,12,18,2013-12-01,2013-12-31,"DECEMBER ","WED"
20131219,2013-12-19,2013,4,12,19,2013-12-01,2013-12-31,"DECEMBER ","THU"
20131220,2013-12-20,2013,4,12,20,2013-12-01,2013-12-31,"DECEMBER ","FRI"
20131221,2013-12-21,2013,4,12,21,2013-12-01,2013-12-31,"DECEMBER ","SAT"
20131222,2013-12-22,2013,4,12,22,2013-12-01,2013-12-31,"DECEMBER ","SUN"
20131223,2013-12-23,2013,4,12,23,2013-12-01,2013-12-31,"DECEMBER ","MON"
20131224,2013-12-24,2013,4,12,24,2013-12-01,2013-12-31,"DECEMBER ","TUE"
20131225,2013-12-25,2013,4,12,25,2013-12-01,2013-12-31,"DECEMBER ","WED"
20131226,2013-12-26,2013,4,12,26,2013-12-01,2013-12-31,"DECEMBER ","THU"
20131227,2013-12-27,2013,4,12,27,2013-12-01,2013-12-31,"DECEMBER ","FRI"
20131228,2013-12-28,2013,4,12,28,2013-12-01,2013-12-31,"DECEMBER ","SAT"
20131229,2013-12-29,2013,4,12,29,2013-12-01,2013-12-31,"DECEMBER ","SUN"
